Date_read,Day collected,Month collected,Year collected,sample,Replicate,Location,Habitat,Orig. sample volume (ml),DNA (ul),orig.(ng/ul),Qubit[](ng/ul),S1 Low,S2 High,Notes,Fish/sample,Depth (m)
4/1/2019,13,December,2018,26,1,Lot,LC,400,5,NA,NA,74.32,38153.68,Out of range,62,4
5/13/2019,13,December,2018,50,1,Lot,LC,400,5,NA,NA,71.28,37736.78,Out of range,62,4
5/13/2019,13,December,2018,51,1,Lot,AW,400,5,NA,NA,71.28,37736.78,Out of range,NA,3
5/13/2019,18,December,2018,4,2,Lot,LC,200,5,NA,NA,71.28,37736.78,Out of range,76,3.5
5/13/2019,18,December,2018,2,2,Lot,LC,200,5,0.392,9.79,71.28,37736.78,,76,3.5
4/1/2019,18,December,2018,6,2,Lot,LC,400,5,0.364,9.11,74.32,38153.68,,76,3.5
5/13/2019,18,December,2018,11,2,Lot,LC,300,5,0.362,9.05,71.28,37736.78,,76,3.5
2/17/2019,18,December,2018,56,3,Lot,surf,400,10,0.248,12.4,62.53,4858.66,,NA,0
2/25/2019,18,December,2018,41,3,Lot,surf,400,10,0.6,30,68.07,39633.54,,NA,0
5/13/2019,18,December,2018,20,3,Lot,surf,400,5,0.048,1.02,71.28,37736.78,,NA,0
2/17/2019,19,December,2018,30,4,Lot,CR,400,10,2.48,124,62.53,4858.65,,12,3.5
2/25/2019,19,December,2018,15,4,Lot,CR,400,10,0.748,37.4,68.07,39633.54,,12,3.5
5/13/2019,19,December,2018,18,4,Lot,CR,400,5,0.56,14,71.28,37736.78,,12,3.5
4/1/2019,19,December,2018,13,5,Lot,surf,400,5,0.928,23.2,74.32,38153.68,,NA,0
5/13/2019,19,December,2018,22,5,Lot,surf,400,5,0.64,16,71.28,37736.78,,NA,0
4/27/2019,19,December,2018,24,5,Lot,surf,400,5,1.66,41.5,70.69,36806.67,,NA,0
2/25/2019,20,December,2018,12,6,Eua,DCH,400,10,0.27,13.5,68.07,39633.54,,99,3.5
2/25/2019,20,December,2018,5,6,Eua,DCH,400,10,0.0844,4.22,68.07,39633.54,,99,3.5
2/17/2019,20,December,2018,10,6,Eua,DCH,400,10,1.22,61.2,62.53,4858.64,"10, 30, and 56 had no alcohol added to the extraction buffers",99,3.5
2/25/2019,20,December,2018,16,7,Eua,surf,400,10,0.46,23,68.07,39633.54,,NA,0
4/27/2019,20,December,2018,14,7,Eua,surf,400,5,0.704,17.6,70.69,36806.67,,NA,0
4/27/2019,20,December,2018,8,7,Eua,surf,400,5,0.628,15.7,74.94,17588.8,,NA,0
2/25/2019,21,December,2018,53,8,Eua,CR,400,10,0.0292,1.46,68.07,39633.54,,33,3.5
4/1/2019,21,December,2018,45,8,Eua,CR,400,5,NA,NA,74.32,38153.68,Out of range,33,3.5
5/13/2019,21,December,2018,38,8,Eua,CR,400,5,NA,NA,71.28,37736.78,Out of range,33,3.5
4/1/2019,22,December,2018,9,9,MS,DCH,400,5,NA,NA,74.32,38153.68,Out of range,45,3.5
5/13/2019,22,December,2018,3,10,MS,DCH,400,5,NA,NA,71.28,37736.78,Out of range,48,3.5
4/1/2019,24,December,2018,42,11,MS,DCH,400,5,0.0276,0.69,74.32,38153.68,,25,3.5
4/27/2019,24,December,2018,7,12,MS,DCH,400,5,0.932,23.3,70.69,36806.67,,5,3.5
